"gauge_ID","avg_ann","zero_flow_threshold","long_centroid","lat_centroid"
"A5040517",0,0,138.697113,-34.979079
"112002A",0,0,145.867534,-17.596276
"116013A",0,0,145.4656,-17.611428
"145010A",0,0,152.975219,-28.308852
"208007",0,0,151.655806,-31.429305
"208009",0,0,151.233981,-31.589337
"219001",0,0,149.410809,-36.594966
"224214A",0,0,147.422449,-37.372603
"225110A",0,0,146.268924,-37.636705
"225219",0,0,146.637065,-37.35446
"226407",0,0,146.341213,-38.471663
"227225A",0,0,146.530323,-38.453863
"227226",0,0,146.228259,-38.504629
"229650A",0,0,145.970603,-37.747593
"229661A",0,0,145.955627,-37.603434
"235205",0,0,143.449099,-38.651587
"238208",0,0,142.548599,-37.372656
"304497",0,0,146.296061,-41.977891
"314213",0,0,145.345798,-40.997264
"401208",0,0,147.611814,-36.23842
"401217",0,0,147.84775,-36.68558
"402206",0,0,147.016072,-36.611373
"403214",0,0,146.899362,-36.581085
"405215",0,0,146.403096,-37.198605
"405217",0,0,145.421051,-37.452385
"405263",0,0,146.336779,-37.550193
"410730",0,0,148.835476,-35.665477
"604053",0,0,117.192687,-34.587003
