"gauge_ID","avg_ann","zero_flow_threshold","long_centroid","lat_centroid"
"A0020101",0.447206631312442,0.032,141.531075,-23.791823
"A0030501",0.365876501687739,0.032,143.804137,-24.579224
"A2390519",0.345388294200331,0.032,141.136547,-37.038158
"A2390523",0.481934154098156,0.032,140.615582,-37.785319
"A2390531",0.885947819677889,0.032,140.899296,-36.711624
"A5030502",0.540788772218121,0.032,138.696607,-35.06565
"A5040517",0.806001041156152,0.032,138.697113,-34.979079
"A5040523",0.252567086863464,0.032,138.769781,-34.919967
"A5050517",0.741452141738954,0.032,139.07439,-34.553071
"A5130501",0.348732738874519,0.032,136.783557,-35.874676
"G0010005",0.803497510175692,0.032,137.182522,-19.571896
"G0050115",0.554560182687288,0.032,133.340496,-23.974447
"G0060005",0.900665521197277,0.032,134.318726,-23.438428
"G8110004",0.358465349311624,0.032,130.336775,-16.127994
"G8110016",0.551166570830189,0.032,130.433862,-17.812105
"G8140161",0.057373188622845,0.032,131.175311,-13.603717
"G8150018",0.48699484792591,0.032,131.109341,-12.664661
"G8170002",0.0660157904473786,0.032,131.025938,-13.374976
"G8190001",0.569065654031281,0.032,132.14615,-12.900946
"G8200045",0.0570789484866753,0.032,132.66511,-13.548566
"G9030124",0.898118846134496,0.032,133.338367,-16.453437
"G9030250",0.00821821308722754,0.032,133.294763,-15.222801
"G9070142",0.377572270857591,0.032,135.43932,-16.98124
"102101A",0.0922534532590101,0.032,143.129179,-12.932599
"104001A",0.413359289603074,0.032,143.298997,-14.059295
"105101A",0.22274197109834,0.032,144.973741,-15.763966
"105102A",0.471718179171088,0.032,144.643325,-15.762434
"105105A",0.25495038611727,0.032,145.123847,-15.842161
"107001B",0.144996002886751,0.032,145.007454,-15.380744
"112002A",0.00834401469478946,0.032,145.867534,-17.596276
"116010A",0.00154420921544209,0.032,145.610521,-18.124883
"116011A",0.0120960333176816,0.032,145.490671,-17.544252
"116012A",0.0371113824531376,0.032,145.490331,-18.050795
"116013A",0.00172501268391679,0.032,145.4656,-17.611428
"116014A",0.226274322691806,0.032,145.358069,-17.487128
"116015A",0.0124386467129493,0.032,145.501944,-17.762752
"121001A",0.511022930177757,0.032,148.150858,-20.44328
"122004A",0.429796004247247,0.032,148.58739,-20.268727
"126003A",0.42170215386623,0.032,149.341304,-21.928756
"136202D",0.342089138443099,0.032,152.229299,-26.37627
"136203A",0.541145807495242,0.032,151.696623,-26.809415
"136208A",0.490776001780811,0.032,151.987422,-26.022886
"137101A",0.607538437686372,0.032,152.157109,-25.296772
"137201A",0.535133684737625,0.032,152.274869,-25.33302
"138004B",0.311185872437744,0.032,152.192176,-25.736214
"138009A",0.320513825034716,0.032,152.800467,-26.146885
"138010A",0.49729215322011,0.032,152.198938,-26.182566
"138113A",0.353425558455235,0.032,152.508856,-26.431179
"143009A",0.135610448979917,0.032,152.134848,-26.897586
"143110A",0.591965604357715,0.032,152.461694,-27.889554
"143303A",0.0758366448933629,0.032,152.860416,-26.818596
"145010A",0.0177886557507233,0.032,152.975219,-28.308852
"145011A",0.397863988452663,0.032,152.533837,-28.206583
"145018A",0.389114775697099,0.032,152.577633,-28.2711
"145101D",0.0808703234877349,0.032,153.067021,-28.183984
"145107A",0.0210645247282197,0.032,153.138814,-28.131747
"146010A",0.13517761228042,0.032,153.168125,-28.112992
"146012A",0.129805887988728,0.032,153.381921,-28.216139
"146014A",0.367914720684422,0.032,153.186965,-28.147845
"146095A",0.123535150294096,0.032,153.353102,-28.194566
"204034",0.0760739153203058,0.032,152.049887,-29.871022
"206014",0.175609328882714,0.032,151.933129,-30.347366
"206018",0.192933368280586,0.032,151.633148,-30.999955
"208007",0.00126448893572181,0.032,151.655806,-31.429305
"208009",0.00518336817011867,0.032,151.233981,-31.589337
"210006",0.0732777096397128,0.032,150.015453,-32.232792
"210011",0.0673548610216746,0.032,151.583163,-32.225254
"211008",0.555011697651617,0.032,151.484654,-33.025156
"212209",0.00571768910065514,0.032,150.552395,-34.532655
"212260",0.0330417207744657,0.032,150.024872,-33.992836
"215002",0.0168464004663364,0.032,149.654358,-35.639588
"215004",0.0922306483096961,0.032,150.061675,-35.237316
"215207",0.0108147080028839,0.032,149.842228,-35.278988
"216002",0.028539561344412,0.032,150.191636,-35.364346
"216004",0.459485331303823,0.032,150.535472,-34.992696
"218001",0.10114163568464,0.032,149.517399,-36.342485
"219001",0.144415346611619,0.032,149.410809,-36.594966
"221210",0.101714929524145,0.032,149.379466,-37.239006
"222206",0.00678378736317204,0.032,148.110828,-37.144633
"222213",0.0106254081582609,0.032,148.254384,-36.848333
"223202",0.0235065959566296,0.032,147.778804,-37.136841
"224206",0.0229589115569875,0.032,146.871832,-37.293684
"224213A",0.00286715514495063,0.032,147.244398,-37.22653
"224214A",0.0108252589375209,0.032,147.422449,-37.372603
"225110A",0.0255329436780144,0.032,146.268924,-37.636705
"225219",0.0040197619582304,0.032,146.637065,-37.35446
"226407",0.018660555702999,0.032,146.341213,-38.471663
"227225A",0.00353881278538812,0.032,146.530323,-38.453863
"227226",0.0254126024793577,0.032,146.228259,-38.504629
"227227",0.253819114218953,0.032,145.920982,-38.351655
"229650A",0.0347897864179023,0.032,145.970603,-37.747593
"229661A",0.0128837123672066,0.032,145.955627,-37.603434
"230210",0.709475749566699,0.032,144.472301,-37.463686
"231213",0.305410930640439,0.032,144.322016,-37.456111
"235205",0.224736040202601,0.032,143.449099,-38.651587
"236213",0.651518707188556,0.032,143.478796,-37.408588
"238208",0.477241508466921,0.032,142.548599,-37.372656
"302214",0.0479011011910181,0.032,148.159072,-41.119305
"304497",0.0106246437146954,0.032,146.296061,-41.977891
"305202",0.490373852444331,0.032,147.200032,-43.078587
"314213",0.000399543378995433,0.032,145.345798,-40.997264
"401009",0.0593789338466596,0.032,148.204918,-35.869998
"401015",0.722931313504352,0.032,146.932121,-35.90065
"401208",0.00147945205479452,0.032,147.611814,-36.23842
"401217",0.00037359900373599,0.032,147.84775,-36.68558
"402204",0.0367157507512324,0.032,146.856391,-36.365232
"402206",0.0273242757691444,0.032,147.016072,-36.611373
"402213",0.10393143128589,0.032,146.891732,-36.385605
"402217",0.431504557030412,0.032,146.905739,-36.411095
"403209A",0.00282206752002395,0.032,146.666756,-36.720739
"403213A",0.119691453220286,0.032,146.272867,-36.766973
"403214",0.0850666557785354,0.032,146.899362,-36.581085
"403217",0.143819277306945,0.032,146.537272,-36.920954
"403221",0.13605635877279,0.032,146.697418,-36.314515
"403222",0.0263471816752751,0.032,146.75041,-37.014607
"403226",0.142357348528218,0.032,146.340496,-36.729005
"403232",0.0478113828992397,0.032,146.984584,-36.835758
"404207",0.11214888048581,0.032,146.165046,-36.765968
"405215",0.000195694716242661,0.032,146.403096,-37.198605
"405217",0.000267290344136317,0.032,145.421051,-37.452385
"405219",0.00302083333333333,0.032,146.286371,-37.481102
"405226",0.270295910961461,0.032,145.354372,-36.800474
"405238",0.426662873712086,0.032,144.762353,-37.160776
"405245",0.536423578807501,0.032,146.133651,-37.060375
"405248",0.736753483469612,0.032,144.836127,-36.933951
"405251",0.0728107438212497,0.032,145.815105,-36.920226
"405263",0.000144196106705119,0.032,146.336779,-37.550193
"405274",0.310133033625989,0.032,145.629702,-37.032024
"406208",0.555852542979102,0.032,144.429623,-37.4192
"406213",0.36924037011916,0.032,144.522879,-37.231498
"406214",0.619231055435237,0.032,144.337149,-36.856611
"406224",0.899282590530104,0.032,144.692547,-36.655054
"407214",0.403103584995768,0.032,143.844562,-37.409925
"407215",0.197810448582132,0.032,144.184007,-37.17348
"407220",0.471932692357909,0.032,143.554834,-37.189747
"407230",0.594796654606777,0.032,144.013916,-37.273569
"407253",0.197550046274986,0.032,144.401445,-36.6366
"408200",0.425300775100773,0.032,143.433625,-36.804313
"408202",0.607730546548382,0.032,143.395498,-37.24945
"410061",0.0105306131850035,0.032,148.098348,-35.44078
"410705",0.229273082456665,0.032,149.42805,-35.468818
"410730",0.00721308596336668,0.032,148.835476,-35.665477
"410731",0.0429994813285222,0.032,148.990709,-35.719146
"410734",0.058071681401058,0.032,149.407815,-35.755401
"410761",0.0164378084382685,0.032,149.097839,-36.034117
"412028",0.0645966293083078,0.032,149.632896,-34.120201
"412050",0.0728260332901718,0.032,149.355391,-34.386123
"412066",0.0704529049436976,0.032,149.715225,-34.210382
"415207",0.358325635747204,0.032,143.266189,-37.166364
"415226",0.908183236517016,0.032,142.890796,-36.818191
"415237",0.736760926334965,0.032,142.872462,-37.134559
"416003",0.283038295853783,0.032,151.935964,-29.010398
"416008",0.381496816643085,0.032,151.573889,-29.352266
"418005",0.327823484152583,0.032,151.253136,-29.960682
"418014",0.243473505530839,0.032,151.476768,-30.510192
"419005",0.0286087041642163,0.032,151.222434,-30.862886
"422202B",0.649167338546075,0.032,150.293373,-26.438515
"422306A",0.566253374081147,0.032,152.355283,-28.144462
"422313B",0.505831387939158,0.032,152.35191,-28.208954
"422319B",0.446638355263766,0.032,152.17484,-28.002414
"422321B",0.0861509901074405,0.032,152.379565,-28.338935
"422334A",0.324867951349065,0.032,152.005781,-27.86898
"422394A",0.116245518958412,0.032,152.286462,-28.347014
"424002",0.441041594917432,0.032,144.884784,-27.831393
"424201A",0.435902149453695,0.032,145.096841,-27.439763
"604053",0.194784522583881,0.032,117.192687,-34.587003
"606001",0.455772070101216,0.032,116.605613,-34.609559
"606002",0.701482463472368,0.032,116.503657,-34.654815
"606185",0.244572369783978,0.032,116.394775,-34.611714
"607155",0.243924384239584,0.032,116.054179,-34.585579
"608002",0.105765730237585,0.032,115.878757,-34.363821
"610008",0.67349470162913,0.032,115.479161,-33.82419
"613002",0.106527287877263,0.032,116.088159,-33.006933
"613146",0.405257169967575,0.032,115.966356,-33.014214
"614044",0.694709849902678,0.032,116.229084,-32.823002
"616002",0.76215609001585,0.032,116.45648,-32.144415
"616013",0.734270576830607,0.032,116.505745,-31.942919
"616065",0.559115107407565,0.032,116.338726,-32.351736
"803003",0.755372236965106,0.032,125.044846,-17.145429
"804001",0.320897300170797,0.032,125.635225,-16.827459
"809310",0.662499033890504,0.032,127.441979,-17.421833
"915011A",0.766022319510764,0.032,144.483641,-20.054245
"917107A",0.202052733817748,0.032,144.52435,-18.152298
"919003A",0.0341221719618306,0.032,144.878729,-16.646693
"919201A",0.290603875633581,0.032,144.875571,-16.228924
"919309A",0.205330318938616,0.032,144.597471,-17.061799
"922101B",0.200290002058686,0.032,143.24834,-13.886048
"926002A",0.0171080669710807,0.032,142.566349,-11.816876
