"gauge_ID","avg_ann","zero_flow_threshold","long_centroid","lat_centroid"
"G8140001",0,0.032,132.854921,-13.923349
"G8140040",0,0.032,131.952911,-14.543665
"G8210010",0,0.032,133.377977,-13.016797
"108002A",0,0.032,145.174261,-16.143035
"108003A",0,0.032,145.30236,-16.041087
"112102A",0,0.032,145.854206,-17.725304
"113004A",0,0.032,145.607423,-17.672696
"116006B",0,0.032,145.365074,-17.993376
"221207",0,0.032,148.889197,-37.357816
"225020A",0,0.032,146.332324,-37.842485
"226220",0,0.032,145.983831,-37.811
"226222",0,0.032,145.830907,-37.884406
"304499",0,0.032,146.586231,-42.73956
"307473",0,0.032,146.037092,-43.038599
"308145",0,0.032,145.944348,-42.176963
"308799",0,0.032,145.913507,-42.101882
"312061",0,0.032,145.651407,-41.467375
"314207",0,0.032,145.927003,-41.403886
"315450",0,0.032,146.045131,-41.733571
"318076",0,0.032,147.537101,-41.458693
"401012",0,0.032,148.095363,-36.636731
"401203",0,0.032,147.443366,-37.025041
"401210",0,0.032,147.411334,-36.676595
"401212",0,0.032,147.890447,-36.546832
"401216",0,0.032,147.395783,-36.858621
"405205",0,0.032,145.574787,-37.485979
"405209",0,0.032,145.723246,-37.476057
"405218",0,0.032,146.394178,-37.301821
"405227",0,0.032,146.039292,-37.500052
"405264",0,0.032,146.030098,-37.557641
"410057",0,0.032,148.48241,-35.422291
"912101A",0,0.032,138.55321,-19.303638
"912105A",0,0.032,138.508911,-19.333672
"925001A",0,0.032,142.871973,-12.870063
