"gauge_ID","tau_annualfractionnoflow_rounded","tau_zeroflowfirst_rounded","tau_peak2z_rounded"
"X912101A",NA,NA,NA
"X912105A",NA,NA,NA
"X915011A",0.0496828752642706,0.0412262156448203,0.0457303537072665
"X917107A",0.0555041628122109,0.0153846153846154,0.134414414414414
"X919003A",-0.0984042553191489,0.19047619047619,0.25296442687747
"X919201A",0.0381205673758865,0.0328014184397163,0.0871663547719886
"X919309A",-0.171985815602837,0.0499537465309898,-0.119778346121057
"X922101B",-0.156028368794326,0.000925069380203515,0.148148148148148
"X925001A",NA,NA,NA
"X926002A",NA,NA,NA
"G9030124",-0.0341394025604552,-0.0526315789473684,0.0166957872257814
"G9030250",NA,NA,NA
"G9070142",-0.210612244897959,0.00769230769230769,0.117760837410399
"A0020101",-0.0433673469387755,-0.0434782608695652,0.118232890704801
"A0030501",0.10077519379845,-0.0858974358974359,-0.0430583501006036
"G0010005",-0.160386473429952,0.0270531400966184,0.10082023239918
"G0050115",0.0570824524312896,-0.0712250712250712,-0.321321321321321
"G0060005",0.17718715393134,-0.108527131782946,0.0505871725383921
"X401009",0.332211538461538,-0.252016129032258,-0.280177187153931
"X401012",NA,NA,NA
"X401015",0.211382113821138,-0.183507549361208,0.108769841269841
"X401203",NA,NA,NA
"X401208",NA,NA,NA
"X401210",NA,NA,NA
"X401212",NA,NA,NA
"X401216",NA,NA,NA
"X401217",NA,NA,NA
"X402204",0.0858843537414966,-0.0727272727272727,-0.295238095238095
"X402206",0.0794871794871795,-0.0606060606060606,0
"X402213",0.202898550724638,-0.227822580645161,-0.0811594202898551
"X402217",0.246225319396051,-0.221835075493612,0.0107028810050181
"X403209A",NA,NA,NA
"X403213A",0.0714285714285714,-0.149048625792812,-0.210612244897959
"X403214",-0.0552188552188552,-0.0317073170731707,0.110809588421529
"X403217",0.11436170212766,-0.276653171390013,-0.23784355179704
"X403221",0.0188235294117647,-0.0609756097560976,-0.0457643622200584
"X403222",0.00326530612244898,0.0512820512820513,0.0641025641025641
"X403226",0.189625850340136,-0.258028792912514,-0.138851198552691
"X403232",0.141749723145072,-0.0173160173160173,0.0105263157894737
"X404207",0.183766233766234,-0.268292682926829,-0.229317851959361
"X405205",NA,NA,NA
"X405209",NA,NA,NA
"X405215",NA,NA,NA
"X405217",NA,NA,NA
"X405218",NA,NA,NA
"X405219",NA,NA,NA
"X405226",0.265969802555168,-0.433854907539118,0.0451145395044413
"X405227",NA,NA,NA
"X405238",0.194905869324474,-0.293466223698782,0.104226886179884
"X405245",0.257575757575758,-0.192929292929293,-0.0215532203603774
"X405248",0.321212121212121,-0.146464646464646,0.0395124001681379
"X405251",0.384436701509872,-0.41991341991342,-0.144820295983087
"X405263",NA,NA,NA
"X405264",NA,NA,NA
"X405274",0.259109311740891,-0.297297297297297,0.0783835485413678
"X406208",0.376442307692308,-0.3125,-0.057644022263972
"X406213",0.235897435897436,-0.330014224751067,0.116057838660578
"X406214",0.327796234772979,-0.296788482834994,-0.0553571428571429
"X406224",0.291025641025641,-0.111538461538462,-0.0429569387967887
"X407214",0.285096153846154,-0.248076923076923,-0.0892907373920032
"X407215",0.343589743589744,-0.368067226890756,-0.0719196192490746
"X407220",0.504983388704319,-0.372093023255814,0.0714528331017446
"X407230",0.307862679955703,-0.224806201550388,0.246864398867138
"X407253",0.318234610917538,-0.397560975609756,-0.0112421383647799
"X408200",0.493333333333333,-0.374901960784314,-0.130204738900391
"X408202",0.373299319727891,-0.272959183673469,0.019437373059709
"X410057",NA,NA,NA
"X410061",0.128365384615385,-0.0512820512820513,0.0549450549450549
"X410705",0.211057692307692,-0.245117845117845,-0.151498437212723
"X410730",NA,NA,NA
"X410731",0.0533333333333333,-0.0523809523809524,0.0740740740740741
"X410734",0.149659863945578,-0.45,-0.0676923076923077
"X410761",0.0231707317073171,-0.378787878787879,-0.10989010989011
"X412028",0.239423076923077,-0.0942528735632184,0.00425170068027211
"X412050",0.272895467160037,-0.0108695652173913,0.051207729468599
"X412066",0.168831168831169,-0.322751322751323,-0.130434782608696
"X415207",0.328737300435414,-0.39894419306184,-0.105820105820106
"X415226",0.417171717171717,-0.0696969696969697,-0.10316091954023
"X415237",0.441295546558704,-0.291497975708502,-0.0126923987686479
"X416003",0.165165165165165,-0.295454545454545,0.0732194585955449
"X416008",0.0946859903381643,-0.0412262156448203,0.0268292682926829
"X418005",0.213131313131313,-0.245454545454545,0.122245322245322
"X418014",0.238383838383838,-0.212624584717608,-0.0285382156349898
"X419005",0.163942307692308,-0.142292490118577,-0.105376344086022
"X422202B",0.136057692307692,-0.0889423076923077,-0.00724676772580964
"X422306A",0.203846153846154,0.0269230769230769,-0.0972344376038307
"X422313B",0.266888150609081,-0.106312292358804,0.0297544790975448
"X422319B",0.211840888066605,-0.0879227053140097,-0.0740511435057504
"X422321B",0.196013289036545,-0.206153846153846,0.00604703247480403
"X422334A",0.35800185013876,-0.256871035940803,-0.0174607352812144
"X422394A",0.243632336655592,-0.2,0.0289738430583501
"X424002",0.128205128205128,-0.164102564102564,-0.0193969479683765
"X424201A",0.0739795918367347,0.0102040816326531,0.00121425535790177
"X102101A",-0.0558510638297872,-0.136557610241821,-0.103658536585366
"X104001A",0.159420289855072,-0.231313131313131,-0.0892940626460963
"X105101A",0.0124113475177305,-0.0383838383838384,-0.0272638753651412
"X105102A",-0.00975177304964539,-0.0301418439716312,-0.0377167973390354
"X105105A",0.087881591119334,-0.136231884057971,0.0958590711507664
"X107001B",-0.00975177304964539,-0.0375375375375375,0.0399698340874811
"X108002A",NA,NA,NA
"X108003A",NA,NA,NA
"X112002A",-0.185096153846154,0.0988142292490119,-0.0184615384615385
"X112102A",NA,NA,NA
"X113004A",NA,NA,NA
"X116006B",NA,NA,NA
"X116010A",NA,NA,NA
"X116011A",0.0606060606060606,0.010989010989011,-0.131868131868132
"X116012A",-0.0831586303284416,0.00403225806451613,0.0564102564102564
"X116013A",NA,NA,NA
"X116014A",-0.0964360587002096,0.0689404934687954,0.0221024258760108
"X116015A",-0.147959183673469,-0.0474308300395257,-0.195652173913043
"X121001A",0.122735242548217,0.0131578947368421,-0.130316164660844
"X122004A",0.115171650055371,-0.162790697674419,-0.074950792499741
"X126003A",0.0603948896631823,-0.16144018583043,-0.0237998096015232
"X136202D",0.0854901960784314,-0.00979591836734694,-0.155062680810029
"X136203A",0.156730769230769,-0.00865384615384615,-0.156789209374195
"X136208A",0.300531914893617,-0.0787878787878788,-0.0428909152313408
"X137101A",0.238367346938776,-0.0212244897959184,-0.0731153048117775
"X137201A",0.162448979591837,0.0416326530612245,-0.0216869356438227
"X138004B",0.254878048780488,-0.0871794871794872,-0.0529030356616563
"X138009A",0.0902439024390244,0,0.0931730356376127
"X138010A",0.234146341463415,-0.0045045045045045,0.0103655210038189
"X138113A",0.158562367864693,-0.124274099883856,-0.166710816777042
"X143009A",0.352900069881202,-0.161375661375661,0.026578073089701
"X143110A",0.162812210915819,-0.0434782608695652,0.00190070921985816
"X143303A",-0.0418269230769231,0.0301974448315912,-0.179487179487179
"X145010A",0.231020408163265,-0.142292490118577,0.0487804878048781
"X145011A",0.337959183673469,-0.175170068027211,-0.0177955133735979
"X145018A",0.160386473429952,-0.0373737373737374,-0.0353255923998107
"X145101D",0.335272342675833,-0.314975845410628,-0.153991018397798
"X145107A",0.193798449612403,0.0409356725146199,-0.0282258064516129
"X146010A",0.06966618287373,-0.147826086956522,0.0246601603346114
"X146012A",0.150724637681159,-0.0364372469635627,-0.0644239923833704
"X146014A",0.126262626262626,-0.0383838383838384,0.0104574630113142
"X146095A",0.14975845410628,-0.032051282051282,0.0266990291262136
"A5030502",0.262719703977798,-0.247918593894542,0.00695801949339056
"A5040517",0.0275862068965517,0.0482758620689655,0.0604933792853256
"A5040523",0.320056899004267,-0.411095305832148,-0.0952832317761228
"A5050517",0.0742240215924427,-0.106612685560054,0.0239463601532567
"A5130501",0.142706131078224,-0.206131078224101,-0.0298730395817774
"X204034",0.178646934460888,-0.247747747747748,-0.0175757575757576
"X206014",0.104706504494976,-0.0248033877797943,0.0313725490196078
"X206018",0.0980519480519481,-0.279788838612368,0.0214285714285714
"X208007",NA,NA,NA
"X208009",0.0802884615384615,-0.155555555555556,-0.248366013071895
"X210006",0.268269230769231,-0.290322580645161,-0.0856313497822932
"X210011",0.0149038461538462,-0.0363636363636364,-0.00699300699300699
"X211008",0.169082125603865,-0.0917874396135266,-0.0114341983317887
"X212209",0.135265700483092,-0.0808823529411765,-0.0566666666666667
"X212260",0.186473429951691,0.0735294117647059,-0.215686274509804
"X215002",NA,NA,NA
"X215004",-0.0177884615384615,-0.163265306122449,0.0203054806828392
"X215207",NA,NA,NA
"X216002",0.144107744107744,-0.038961038961039,-0.176638176638177
"X216004",0.294685990338164,-0.253140096618358,-0.0433995327102804
"X218001",0.116161616161616,0.0197044334975369,0.0824675324675325
"X219001",0.295192307692308,-0.229417206290472,0.019303872653837
"X221207",NA,NA,NA
"X221210",0.225913621262458,-0.10952380952381,0.00634920634920635
"X222206",0.0360576923076923,0.0909090909090909,0.384615384615385
"X222213",0.0629159104658197,-0.0441176470588235,-0.300653594771242
"X223202",0.152884615384615,0.0175438596491228,0.110671936758893
"X224206",-0.101948051948052,-0.333333333333333,-0.123809523809524
"X224213A",NA,NA,NA
"X224214A",NA,NA,NA
"X225020A",NA,NA,NA
"X225110A",-0.0780780780780781,-0.0398550724637681,0.0566666666666667
"X225219",NA,NA,NA
"X226220",NA,NA,NA
"X226222",NA,NA,NA
"X226407",-0.0317124735729387,0.151515151515152,0.121212121212121
"X227225A",0.11790780141844,-0.196078431372549,0.16025641025641
"X227226",0.129468599033816,-0.206153846153846,-0.164904862579281
"X227227",-0.0452961672473868,-0.0780487804878049,-0.0137918180971019
"X229650A",0.187687687687688,-0.207977207977208,0.0135135135135135
"X229661A",-0.0855855855855856,0.117647058823529,0.147619047619048
"X230210",0.421985815602837,-0.226063829787234,-0.0713822575891541
"X231213",0.173558897243108,-0.179124579124579,0.0782964782964783
"X235205",0.0477918935269208,-0.120992135511192,-0.0235311528784964
"X236213",0.284146341463415,-0.225609756097561,-0.0586355009489561
"X238208",0.324519230769231,-0.213942307692308,0.0255610549867788
"A2390519",0.603030303030303,-0.368292682926829,0.114945172916187
"A2390523",0.361207897793264,-0.281068524970964,0.237662337662338
"A2390531",0.167341430499325,-0.0836707152496626,0.102279368790181
"X604053",0.0672316384180791,0.0152542372881356,0.194202898550725
"X606001",0.409756097560976,-0.374390243902439,-0.0255445544554455
"X606002",0.132575757575758,-0.0662878787878788,0.110582111343871
"X606185",0.269230769230769,-0.138763197586727,0.161038961038961
"X607155",0.556603773584906,-0.548235294117647,-0.096037296037296
"X608002",0.374390243902439,-0.333333333333333,-0.165350877192982
"X610008",0.0323886639676113,-0.0526315789473684,0.00150279089738085
"X613002",0.372946859903382,-0.312169312169312,-0.170940170940171
"X613146",0.490909090909091,-0.513804713804714,0.0121621049959812
"X614044",0.502379693283977,-0.470121628767848,-0.0238331678252234
"X616002",0.325354609929078,-0.191489361702128,0.111926605504587
"X616013",0.116279069767442,-0.0454545454545455,0.0531832298136646
"X616065",0.268305171530978,-0.298515104966718,0.00277641678915564
"X803003",0.0984848484848485,-0.0606060606060606,-0.020855614973262
"X804001",-0.210992907801418,0.115633672525439,0.208698474521259
"X809310",0.0106382978723404,0.032377428307123,-0.102405498281787
"G8110004",-0.352685050798258,-0.107563025210084,-0.0979020979020979
"G8110016",-0.00464576074332172,0.0463414634146341,0.0168527264920567
"G8140001",NA,NA,NA
"G8140040",NA,NA,NA
"G8140161",-0.36655592469546,-0.0227920227920228,0.116197183098592
"G8150018",-0.0348639455782313,-0.18452380952381,-0.13112582781457
"G8170002",-0.266666666666667,-0.0980392156862745,0.0455486542443064
"G8190001",-0.119327731092437,0.0151260504201681,0.0869335214247928
"G8200045",-0.3763197586727,0.272727272727273,0.216806722689076
"G8210010",NA,NA,NA
"X302214",0.175675675675676,0.019047619047619,-0.256410256410256
"X304497",-0.026395173453997,-0.264705882352941,0.25
"X304499",NA,NA,NA
"X305202",0.160975609756098,-0.210975609756098,-0.0316149160600208
"X307473",NA,NA,NA
"X308145",NA,NA,NA
"X308799",NA,NA,NA
"X312061",NA,NA,NA
"X314207",NA,NA,NA
"X314213",NA,NA,NA
"X315450",NA,NA,NA
"X318076",NA,NA,NA
