"gauge_ID","tau_annualfractionnoflow_rounded","tau_zeroflowfirst_rounded","tau_peak2z_rounded"
"X912101A",NA,NA,NA
"X912105A",NA,NA,NA
"X915011A",0.0528541226215645,0.0384615384615385,0.113935483870968
"X917107A",0.105457909343201,-0.155555555555556,NA
"X919003A",-0.101950354609929,-0.0256410256410256,0.106060606060606
"X919201A",0.149822695035461,0.179831932773109,0.1131592421915
"X919309A",-0.24290780141844,0.152496626180837,-0.128571428571429
"X922101B",-0.140070921985816,0.0360046457607433,0.183510638297872
"X925001A",NA,NA,NA
"X926002A",NA,NA,NA
"G9030124",NA,NA,NA
"G9030250",NA,NA,NA
"G9070142",-0.158367346938776,-0.128571428571429,0.136501377410468
"A0020101",-0.0561224489795918,-0.0550724637681159,0.0918918918918919
"A0030501",0.104097452934662,-0.0823211875843455,-0.0308529945553539
"G0010005",-0.158454106280193,0.0328502415458937,0.145585585585586
"G0050115",0.0866807610993657,-0.0712250712250712,-0.345661450924609
"G0060005",0.161683277962348,-0.105204872646733,0.0487341772151899
"X401009",0.173557692307692,-0.155555555555556,NA
"X401012",NA,NA,NA
"X401015",0.233449477351916,-0.224021592442645,0.0640012642225032
"X401203",NA,NA,NA
"X401208",NA,NA,NA
"X401210",NA,NA,NA
"X401212",NA,NA,NA
"X401216",NA,NA,NA
"X401217",NA,NA,NA
"X402204",NA,NA,NA
"X402206",NA,NA,NA
"X402213",NA,NA,NA
"X402217",NA,NA,NA
"X403209A",NA,NA,NA
"X403213A",NA,NA,NA
"X403214",NA,NA,NA
"X403217",NA,NA,NA
"X403221",0.139607843137255,0.217948717948718,0.021978021978022
"X403222",NA,NA,NA
"X403226",0.11734693877551,0.158333333333333,-0.433823529411765
"X403232",NA,NA,NA
"X404207",0.118831168831169,0.141025641025641,-0.142857142857143
"X405205",NA,NA,NA
"X405209",NA,NA,NA
"X405215",NA,NA,NA
"X405217",NA,NA,NA
"X405218",NA,NA,NA
"X405219",NA,NA,NA
"X405226",0.363530778164925,-0.376811594202899,-0.433497536945813
"X405227",NA,NA,NA
"X405238",0.36766334440753,-0.327169274537696,0.0729411764705882
"X405245",NA,NA,NA
"X405248",0.436363636363636,-0.445121951219512,0.0153005464480874
"X405251",NA,NA,NA
"X405263",NA,NA,NA
"X405264",NA,NA,NA
"X405274",NA,NA,NA
"X406208",0.158653846153846,-0.215970961887477,0.0886075949367089
"X406213",0.326923076923077,-0.248366013071895,-0.0714285714285714
"X406214",0.476190476190476,-0.515151515151515,-0.408602150537634
"X406224",0.214102564102564,-0.11025641025641,-0.0843881856540084
"X407214",NA,NA,NA
"X407215",0.394871794871795,-0.241666666666667,-0.316205533596838
"X407220",0.488372093023256,-0.641304347826087,-0.636636636636637
"X407230",0.452934662236988,-0.397897897897898,0.194915254237288
"X407253",0.397212543554007,-0.169117647058824,-0.357142857142857
"X408200",0.428235294117647,-0.139705882352941,0.0065359477124183
"X408202",0.400510204081633,-0.656084656084656,-0.1140642303433
"X410057",NA,NA,NA
"X410061",NA,NA,NA
"X410705",0.203365384615385,-0.0172043010752688,0.0512195121951219
"X410730",NA,NA,NA
"X410731",NA,NA,NA
"X410734",NA,NA,NA
"X410761",NA,NA,NA
"X412028",0.236538461538462,-0.115789473684211,0.0640394088669951
"X412050",NA,NA,NA
"X412066",0.144155844155844,-0.0166666666666667,0.116883116883117
"X415207",0.260522496371553,-0.438095238095238,-0.169117647058824
"X415226",0.405050505050505,-0.287878787878788,0.152829190904283
"X415237",0.421052631578947,-0.439946018893387,-0.0227211975407645
"X416003",0.039039039039039,-0.0978260869565217,0.192691029900332
"X416008",0.0338164251207729,-0.0745967741935484,0.13974358974359
"X418005",0.185858585858586,-0.106719367588933,0.181609195402299
"X418014",0.148484848484848,0.104838709677419,0.255737704918033
"X419005",NA,NA,NA
"X422202B",0.13125,-0.0453551912568306,-0.00542264752791069
"X422306A",0.253365384615385,-0.0984615384615385,0.224806201550388
"X422313B",0.0874861572535991,0.176190476190476,0.3
"X422319B",0.293246993524514,-0.212698412698413,-0.177759957230687
"X422321B",NA,NA,NA
"X422334A",0.338575393154487,-0.152046783625731,0.1
"X422394A",0.225913621262458,-0.130718954248366,0.113846153846154
"X424002",0.134615384615385,-0.259109311740891,-0.0348381776953205
"X424201A",0.116496598639456,0.0374149659863946,-0.0376981796829125
"X102101A",-0.0913120567375887,0.0492307692307692,-0.12
"X104001A",-0.0135265700483092,-0.117305458768873,-0.0599326599326599
"X105101A",-0.00443262411347518,0.14651493598862,0.0557644110275689
"X105102A",0.00265957446808511,0.174972314507198,0.0199925953350611
"X105105A",0.030527289546716,-0.0592334494773519,0
"X107001B",-0.0549645390070922,-0.30952380952381,-0.0857142857142857
"X108002A",NA,NA,NA
"X108003A",NA,NA,NA
"X112002A",NA,NA,NA
"X112102A",NA,NA,NA
"X113004A",NA,NA,NA
"X116006B",NA,NA,NA
"X116010A",NA,NA,NA
"X116011A",NA,NA,NA
"X116012A",-0.115303983228512,0.0363636363636364,0.272727272727273
"X116013A",NA,NA,NA
"X116014A",-0.0146750524109015,0.0388529139685476,-0.0728813559322034
"X116015A",NA,NA,NA
"X121001A",0.0169491525423729,-0.00193236714975845,-0.0773653293338333
"X122004A",0.235880398671096,-0.315508021390374,-0.273532668881506
"X126003A",0.110336817653891,-0.080672268907563,-0.207393483709273
"X136202D",-0.181960784313725,0.110344827586207,-0.0828282828282828
"X136203A",0.107211538461538,-0.067489114658926,-0.269934640522876
"X136208A",0.426418439716312,-0.0960960960960961,-0.205994710549515
"X137101A",0.116734693877551,-0.118181818181818,0.0405192761605035
"X137201A",0.340408163265306,-0.182346109175377,-0.106738544474394
"X138004B",0.3,0.00615384615384615,0.00793650793650794
"X138009A",0.0634146341463415,-0.0350877192982456,0.0615942028985507
"X138010A",0.210975609756098,-0.165024630541872,0.061770761839396
"X138113A",0.115221987315011,-0.0862068965517241,-0.11219512195122
"X143009A",0.293501048218029,-0.308333333333333,-0.371428571428571
"X143110A",0.248843663274746,-0.163898117386489,-0.208695652173913
"X143303A",NA,NA,NA
"X145010A",NA,NA,NA
"X145011A",0.128979591836735,-0.0666666666666667,0.123333333333333
"X145018A",0.0927536231884058,-0.257309941520468,0.233918128654971
"X145101D",0.287678476996298,-0.0916666666666667,0.00333333333333333
"X145107A",NA,NA,NA
"X146010A",0.17489114658926,-0.0661764705882353,-0.0513833992094862
"X146012A",NA,NA,NA
"X146014A",NA,NA,NA
"X146095A",NA,NA,NA
"A5030502",0.0222016651248844,0.10989010989011,0.544117647058823
"A5040517",NA,NA,NA
"A5040523",NA,NA,NA
"A5050517",0.484480431848853,-0.301538461538462,-0.110924369747899
"A5130501",0.326638477801268,-0.214574898785425,-0.0708478513356562
"X204034",NA,NA,NA
"X206014",0.0370174510840825,-0.16600790513834,-0.0342741935483871
"X206018",0.13961038961039,-0.177489177489178,-0.201058201058201
"X208007",NA,NA,NA
"X208009",NA,NA,NA
"X210006",NA,NA,NA
"X210011",-0.0629807692307692,-0.0113960113960114,-0.00476190476190476
"X211008",0.195169082125604,-0.108870967741935,-0.0725689404934688
"X212209",NA,NA,NA
"X212260",NA,NA,NA
"X215002",NA,NA,NA
"X215004",0.114903846153846,-0.00952380952380952,-0.15
"X215207",NA,NA,NA
"X216002",NA,NA,NA
"X216004",0.417391304347826,-0.0253623188405797,-0.199365415124273
"X218001",NA,NA,NA
"X219001",NA,NA,NA
"X221207",NA,NA,NA
"X221210",NA,NA,NA
"X222206",NA,NA,NA
"X222213",NA,NA,NA
"X223202",NA,NA,NA
"X224206",NA,NA,NA
"X224213A",NA,NA,NA
"X224214A",NA,NA,NA
"X225020A",NA,NA,NA
"X225110A",NA,NA,NA
"X225219",NA,NA,NA
"X226220",NA,NA,NA
"X226222",NA,NA,NA
"X226407",NA,NA,NA
"X227225A",NA,NA,NA
"X227226",NA,NA,NA
"X227227",-0.0778164924506388,-0.32,-0.303225806451613
"X229650A",NA,NA,NA
"X229661A",NA,NA,NA
"X230210",0.512411347517731,-0.50752688172043,0.0258064516129032
"X231213",0.213032581453634,-0.162820512820513,0.125809435707678
"X235205",NA,NA,NA
"X236213",0.326829268292683,-0.412820512820513,-0.296969696969697
"X238208",NA,NA,NA
"A2390519",0.477777777777778,-0.483516483516484,-0.525
"A2390523",NA,NA,NA
"A2390531",0.106612685560054,-0.0890688259109312,0.188235294117647
"X604053",NA,NA,NA
"X606001",0.231707317073171,-0.258974358974359,0.0313588850174216
"X606002",0.210227272727273,-0.287878787878788,0.0512820512820513
"X606185",0.161387631975867,-0.187134502923977,-0.064327485380117
"X607155",0.288824383164006,-0.448717948717949,-0.538461538461538
"X608002",NA,NA,NA
"X610008",-0.12280701754386,-0.179924242424242,-0.231932773109244
"X613002",NA,NA,NA
"X613146",NA,NA,NA
"X614044",0.687995769434162,-0.624590163934426,0.170839469808542
"X616002",0.283687943262411,-0.219241443108233,0.0870253164556962
"X616013",NA,NA,NA
"X616065",0.165898617511521,-0.315987933634992,0.00818234950321449
"X803003",0.162878787878788,-0.0700757575757576,-0.0744792762465811
"X804001",-0.226950354609929,-0.0833333333333333,0.326315789473684
"X809310",0.0168439716312057,-0.0280193236714976,-0.0689608454139006
"G8110004",-0.34833091436865,-0.208333333333333,-0.35969387755102
"G8110016",-0.0673635307781649,0.126923076923077,0.142665173572228
"G8140001",NA,NA,NA
"G8140040",NA,NA,NA
"G8140161",-0.198228128460687,0.0879120879120879,0.116959064327485
"G8150018",0.224489795918367,-0.353741496598639,-0.258312020460358
"G8170002",NA,NA,NA
"G8190001",-0.0907563025210084,0.102521008403361,0.0401002506265664
"G8200045",-0.296380090497738,-0.0666666666666667,0.533333333333333
"G8210010",NA,NA,NA
"X302214",NA,NA,NA
"X304497",NA,NA,NA
"X304499",NA,NA,NA
"X305202",0.0439024390243902,-0.158333333333333,0
"X307473",NA,NA,NA
"X308145",NA,NA,NA
"X308799",NA,NA,NA
"X312061",NA,NA,NA
"X314207",NA,NA,NA
"X314213",NA,NA,NA
"X315450",NA,NA,NA
"X318076",NA,NA,NA
