"Date","peak2z_length","gauge_ID"
NA,NA,"X912101A"
NA,NA,"X912105A"
1971-10-18,2,"X915011A"
1971-10-21,2,"X915011A"
1972-01-01,7,"X915011A"
1972-01-29,17,"X915011A"
1972-05-01,48,"X915011A"
1972-11-13,1,"X915011A"
1972-12-12,1,"X915011A"
1973-01-12,2,"X915011A"
1973-01-18,2,"X915011A"
1973-01-30,2,"X915011A"
1973-02-04,2,"X915011A"
1973-03-14,9,"X915011A"
1973-03-18,2,"X915011A"
1973-11-13,1,"X915011A"
1974-05-03,5,"X915011A"
1974-05-18,6,"X915011A"
1974-05-30,5,"X915011A"
1974-07-04,5,"X915011A"
1974-09-05,5,"X915011A"
1974-11-21,4,"X915011A"
1974-12-05,9,"X915011A"
1975-06-18,4,"X915011A"
1975-06-24,2,"X915011A"
1975-08-15,7,"X915011A"
1975-10-30,6,"X915011A"
1975-11-16,8,"X915011A"
1975-12-17,3,"X915011A"
1976-01-27,13,"X915011A"
1976-05-23,16,"X915011A"
1976-06-05,1,"X915011A"
1976-06-17,2,"X915011A"
1976-08-20,30,"X915011A"
1976-12-15,2,"X915011A"
1976-12-29,8,"X915011A"
1977-01-13,6,"X915011A"
1977-01-20,3,"X915011A"
1977-01-30,7,"X915011A"
1977-04-07,15,"X915011A"
1977-04-13,2,"X915011A"
1977-04-25,5,"X915011A"
1977-05-13,1,"X915011A"
1977-05-23,7,"X915011A"
1977-08-22,26,"X915011A"
1978-01-20,2,"X915011A"
1978-02-06,5,"X915011A"
1978-04-04,2,"X915011A"
1978-09-07,2,"X915011A"
1978-12-11,2,"X915011A"
1978-12-26,5,"X915011A"
1979-05-12,25,"X915011A"
1979-07-18,3,"X915011A"
1980-01-13,5,"X915011A"
1980-02-01,6,"X915011A"
1980-02-16,6,"X915011A"
1980-03-28,23,"X915011A"
1980-05-30,2,"X915011A"
1981-01-09,2,"X915011A"
1981-07-19,41,"X915011A"
1981-08-12,20,"X915011A"
1981-08-30,4,"X915011A"
1981-11-25,4,"X915011A"
1981-12-12,6,"X915011A"
1982-03-20,9,"X915011A"
1982-04-22,3,"X915011A"
1982-05-05,3,"X915011A"
1983-01-08,5,"X915011A"
1983-01-20,4,"X915011A"
1983-07-24,35,"X915011A"
1983-08-29,1,"X915011A"
1983-11-24,2,"X915011A"
1983-12-12,4,"X915011A"
1984-01-08,3,"X915011A"
1984-04-10,12,"X915011A"
1984-07-18,2,"X915011A"
1984-07-30,3,"X915011A"
1984-12-13,1,"X915011A"
1984-12-23,2,"X915011A"
1985-01-29,4,"X915011A"
1985-07-12,4,"X915011A"
1985-11-30,3,"X915011A"
1985-12-15,4,"X915011A"
1986-01-12,5,"X915011A"
1986-03-04,10,"X915011A"
1986-11-02,3,"X915011A"
1987-01-08,5,"X915011A"
1987-01-13,3,"X915011A"
1987-01-22,4,"X915011A"
1987-01-26,1,"X915011A"
1987-02-07,8,"X915011A"
1987-03-07,4,"X915011A"
1987-03-12,3,"X915011A"
1987-03-30,3,"X915011A"
1988-02-20,3,"X915011A"
1989-01-11,7,"X915011A"
1989-02-09,4,"X915011A"
1989-02-19,5,"X915011A"
1989-03-21,5,"X915011A"
1989-04-01,3,"X915011A"
1989-04-12,5,"X915011A"
1989-04-28,4,"X915011A"
1989-06-03,7,"X915011A"
1989-06-08,1,"X915011A"
1989-11-30,1,"X915011A"
1989-12-03,1,"X915011A"
1989-12-12,2,"X915011A"
1989-12-23,7,"X915011A"
1990-02-05,3,"X915011A"
1990-04-13,9,"X915011A"
1990-05-19,28,"X915011A"
1990-05-31,8,"X915011A"
1990-07-09,33,"X915011A"
1991-04-26,28,"X915011A"
1991-05-19,2,"X915011A"
1991-06-26,3,"X915011A"
1992-02-20,4,"X915011A"
1992-03-11,12,"X915011A"
1992-03-27,4,"X915011A"
1992-05-16,3,"X915011A"
1992-05-20,2,"X915011A"
1993-01-24,11,"X915011A"
1993-03-04,2,"X915011A"
1994-04-11,1,"X915011A"
1994-12-15,7,"X915011A"
1995-01-07,4,"X915011A"
1995-01-26,5,"X915011A"
1995-02-22,10,"X915011A"
1995-03-04,9,"X915011A"
1995-03-22,10,"X915011A"
1995-05-12,34,"X915011A"
1995-10-21,2,"X915011A"
1995-12-15,2,"X915011A"
1996-01-19,11,"X915011A"
1996-04-15,32,"X915011A"
1997-02-25,11,"X915011A"
1997-03-21,14,"X915011A"
1997-03-30,5,"X915011A"
1997-06-17,31,"X915011A"
1997-11-07,2,"X915011A"
1997-11-14,4,"X915011A"
1997-11-19,4,"X915011A"
1997-12-19,1,"X915011A"
1998-02-26,9,"X915011A"
1998-03-23,3,"X915011A"
1998-05-05,5,"X915011A"
1998-09-05,5,"X915011A"
1998-09-16,5,"X915011A"
1999-01-04,1,"X915011A"
1999-01-26,11,"X915011A"
1999-02-13,6,"X915011A"
1999-02-20,4,"X915011A"
1999-03-23,14,"X915011A"
1999-04-04,4,"X915011A"
1999-11-13,5,"X915011A"
1999-12-06,6,"X915011A"
1999-12-25,6,"X915011A"
2000-04-17,8,"X915011A"
2000-06-01,11,"X915011A"
2000-07-04,23,"X915011A"
2001-03-02,2,"X915011A"
2001-03-15,11,"X915011A"
2001-04-29,30,"X915011A"
2001-06-14,15,"X915011A"
2001-11-29,2,"X915011A"
2001-12-27,11,"X915011A"
2002-01-27,13,"X915011A"
2002-04-08,25,"X915011A"
2002-08-08,13,"X915011A"
