"Date","peak2z_length","gauge_ID"
NA,NA,"X912101A"
NA,NA,"X912105A"
1971-10-24,5,"X915011A"
1971-12-21,7,"X915011A"
1972-07-11,27,"X915011A"
1972-11-23,11,"X915011A"
1972-12-18,7,"X915011A"
1973-03-21,5,"X915011A"
1973-11-14,2,"X915011A"
1976-10-05,76,"X915011A"
1976-12-15,2,"X915011A"
1976-12-31,10,"X915011A"
1977-01-15,8,"X915011A"
1977-01-31,8,"X915011A"
1977-10-16,81,"X915011A"
1978-01-01,9,"X915011A"
1978-01-26,8,"X915011A"
1978-02-09,8,"X915011A"
1978-02-15,2,"X915011A"
1978-03-04,2,"X915011A"
1978-04-08,6,"X915011A"
1978-09-16,11,"X915011A"
1978-11-09,5,"X915011A"
1978-12-20,11,"X915011A"
1979-07-18,3,"X915011A"
1980-04-23,49,"X915011A"
1980-06-20,23,"X915011A"
1981-10-06,41,"X915011A"
1982-10-11,162,"X915011A"
1983-02-12,12,"X915011A"
1983-04-11,28,"X915011A"
1984-11-15,25,"X915011A"
1984-11-21,3,"X915011A"
1985-01-07,17,"X915011A"
1985-02-10,16,"X915011A"
1985-03-01,3,"X915011A"
1985-05-03,10,"X915011A"
1985-06-24,16,"X915011A"
1985-09-03,57,"X915011A"
1986-03-24,7,"X915011A"
1986-06-17,3,"X915011A"
1986-09-12,7,"X915011A"
1986-10-01,13,"X915011A"
1986-10-26,2,"X915011A"
1986-11-18,5,"X915011A"
1986-12-13,3,"X915011A"
1987-04-01,5,"X915011A"
1988-02-22,5,"X915011A"
1988-03-16,14,"X915011A"
1989-01-27,23,"X915011A"
1989-03-04,18,"X915011A"
1989-03-25,9,"X915011A"
1989-04-17,10,"X915011A"
1989-05-02,8,"X915011A"
1989-06-14,7,"X915011A"
1989-08-20,33,"X915011A"
1989-12-05,3,"X915011A"
1989-12-25,9,"X915011A"
1990-02-06,4,"X915011A"
1990-04-16,12,"X915011A"
1990-07-28,52,"X915011A"
1991-08-03,41,"X915011A"
1992-03-20,21,"X915011A"
1992-04-05,13,"X915011A"
1992-05-21,3,"X915011A"
1993-01-31,18,"X915011A"
1993-03-10,8,"X915011A"
1994-04-19,9,"X915011A"
1994-12-19,11,"X915011A"
1995-01-15,12,"X915011A"
1995-04-02,21,"X915011A"
1995-05-12,34,"X915011A"
1995-10-26,7,"X915011A"
1995-12-20,7,"X915011A"
1996-01-31,6,"X915011A"
1996-04-15,32,"X915011A"
1997-04-11,17,"X915011A"
1997-06-17,31,"X915011A"
1997-12-01,3,"X915011A"
1998-04-03,14,"X915011A"
1998-05-22,22,"X915011A"
1998-09-25,14,"X915011A"
1999-01-04,1,"X915011A"
1999-02-04,20,"X915011A"
1999-04-04,4,"X915011A"
2000-01-03,6,"X915011A"
2000-07-19,38,"X915011A"
2001-05-16,47,"X915011A"
2001-06-14,15,"X915011A"
2001-10-25,1,"X915011A"
2001-12-05,8,"X915011A"
2002-01-02,17,"X915011A"
2002-04-26,43,"X915011A"
2002-08-08,13,"X915011A"
2003-04-25,10,"X915011A"
2003-07-05,23,"X915011A"
2003-10-28,34,"X915011A"
2003-12-29,12,"X915011A"
2004-03-21,17,"X915011A"
2004-04-01,5,"X915011A"
2004-07-13,13,"X915011A"
2004-09-22,7,"X915011A"
2005-03-05,23,"X915011A"
2005-06-17,30,"X915011A"
2005-08-27,17,"X915011A"
2006-02-22,14,"X915011A"
2006-03-31,8,"X915011A"
2006-06-30,2,"X915011A"
2006-08-05,19,"X915011A"
2006-12-18,10,"X915011A"
2007-01-07,4,"X915011A"
2007-04-10,9,"X915011A"
2007-08-23,28,"X915011A"
2007-11-22,1,"X915011A"
2008-04-21,20,"X915011A"
2008-05-15,12,"X915011A"
2008-08-16,2,"X915011A"
2008-11-13,1,"X915011A"
2008-12-07,9,"X915011A"
2009-09-26,66,"X915011A"
2011-11-17,40,"X915011A"
2012-12-03,20,"X915011A"
2013-01-14,17,"X915011A"
2013-09-21,25,"X915011A"
2014-01-28,16,"X915011A"
2014-03-19,26,"X915011A"
2014-09-04,15,"X915011A"
1971-10-27,123,"X917107A"
1989-11-16,9,"X917107A"
1994-02-17,339,"X917107A"
1994-03-18,7,"X917107A"
1995-12-16,190,"X917107A"
1996-09-30,235,"X917107A"
1996-11-28,2,"X917107A"
2004-06-07,73,"X917107A"
2005-11-02,268,"X917107A"
2006-02-20,16,"X917107A"
2006-10-01,137,"X917107A"
1968-11-06,175,"X919003A"
1969-11-19,119,"X919003A"
1970-10-15,66,"X919003A"
1971-11-16,120,"X919003A"
1972-11-23,73,"X919003A"
1991-10-29,145,"X919003A"
1992-10-20,164,"X919003A"
1994-12-03,144,"X919003A"
2002-10-07,214,"X919003A"
2003-10-17,174,"X919003A"
2005-12-10,44,"X919003A"
2009-10-22,144,"X919003A"
1968-09-16,115,"X919201A"
1969-05-27,70,"X919201A"
1970-06-03,33,"X919201A"
1970-10-25,4,"X919201A"
1970-11-09,2,"X919201A"
1970-11-19,3,"X919201A"
1971-10-01,54,"X919201A"
1972-10-19,25,"X919201A"
1975-11-13,8,"X919201A"
1978-10-08,114,"X919201A"
1983-09-13,113,"X919201A"
1984-05-26,72,"X919201A"
1984-12-05,28,"X919201A"
1985-09-03,57,"X919201A"
1985-11-09,14,"X919201A"
1986-09-04,112,"X919201A"
1986-11-10,11,"X919201A"
1987-08-27,10,"X919201A"
1987-12-13,11,"X919201A"
